Employee ID,Department,Years of Experience,Projects Completed,Client Satisfaction Rating
1,HR,5.2,15,4.8
2,Sales,3.5,22,4.5
3,Engineering,7.1,32,4.9
4,Marketing,2.8,14,4.2
5,HR,4.0,10,4.3
6,Sales,6.2,28,4.7
7,Engineering,10.5,40,4.6
8,Marketing,1.9,9,4.0
9,HR,8.0,25,4.9
10,Sales,9.3,36,4.8
11,Engineering,4.8,20,4.7
12,Marketing,5.6,21,4.5
13,HR,2.5,8,4.1
14,Sales,4.7,18,4.3
15,Engineering,6.3,35,4.9
16,Marketing,3.2,12,4.4
17,HR,7.5,22,4.7
18,Sales,8.4,30,4.8
19,Engineering,12.1,45,4.9
20,Marketing,4.0,17,4.3
